pmid,text,from_gold,participants_Age,participants_Sex,participants_Sex_text,participants_Sample-size,participants_Condition,interventions_Surgical,interventions_Surgical_text,interventions_Physical,interventions_Pharmacological,interventions_Educational,interventions_Educational_text,interventions_Psychological,interventions_Psychological_text,interventions_Other,interventions_Other_text,interventions_Control,interventions_Control_text,outcomes_Physical,outcomes_Physical_text,outcomes_Pain,outcomes_Pain_text,outcomes_Mortality,outcomes_Mortality_text,outcomes_Adverse-effects,outcomes_Adverse-effects_text,outcomes_Mental,outcomes_Mental_text,outcomes_Other
25229605,"Acute effects of static active or dynamic active stretching on eccentric-exercise-induced hamstring muscle damage . OBJECTIVES To examine whether an acute bout of active or dynamic hamstring-stretching exercises would reduce the amount of muscle damage observed after a strenuous eccentric task and to determine whether the stretching protocols elicit similar responses . DESIGN A randomized controlled clinical trial . METHODS Thirty-six young male students performed 5 min of jogging as a warm-up and were allocated to 1 of 3 groups : 3 min of static active stretching ( SAS ) , 3 min of dynamic active stretching ( DAS ) , or control ( CON ) . All subjects performed eccentric exercise immediately after stretching . Heart rate , core temperature , maximal voluntary isometric contraction , passive hip flexion , passive hamstring stiffness ( PHS ) , plasma creatine kinase activity , and myoglobin were recorded at prestretching , at poststretching , and every day after the eccentric exercises for 5 d. RESULTS After stretching , the change in hip flexion was significantly higher in the SAS ( 5Â° ) and DAS ( 10.8Â° ) groups than in the CON ( -4.1Â° ) group . The change in PHS was significantly higher in the DAS ( 5.6 % ) group than in the CON ( -5.7 % ) and SAS ( -6.7 % ) groups . Furthermore , changes in muscle-damage markers were smaller in the SAS group than in the DAS and CON groups . CONCLUSIONS Prior active stretching could be useful for attenuating the symptoms of muscle damage after eccentric exercise . SAS is recommended over DAS as a stretching protocol in terms of strength , hamstring range of motion , and damage markers .",FALSE,1,1,male,1,1,0,,1,0,0,,0,,0,,1,control ( CON );; CON;; CON,1,eccentric-exercise-induced hamstring muscle damage .;; change in hip flexion,0,,0,,0,,0,,0
20486273,"Efficacy and safety of routine blood pressure lowering in older patients with diabetes : results from the ADVANCE trial . OBJECTIVE The efficacy and safety of blood pressure lowering in elderly patients have not been sufficiently investigated in patients with diabetes . Using data from the Action in Diabetes and Vascular disease : preterAx and diamicroN-MR Controlled Evaluation study , we assessed the efficacy and safety of routine blood pressure lowering to prevent major clinical outcomes in elderly patients with type 2 diabetes . METHODS Eleven thousand one hundred and forty patients aged at least 55 years with type 2 diabetes ( mean 66+/-6 years ) were randomly assigned to perindopril-indapamide or placebo . The primary endpoint was a composite of major macrovascular and microvascular disease . The effects of active treatment on outcomes were estimated in subgroups according to age : below 65 , 65-74 and at least 75 years . RESULTS During a mean 4.3-year follow-up , 1799 ( 16.1 % ) patients experienced a major event . Active treatment produced similar relative risk reductions for the primary outcome , major macrovascular disease , death and renal events across age groups ( all P heterogeneity > 0.3 ) . Over 5 years , active treatment was estimated to prevent one primary outcome in every 21 , 71 and 118 patients of at least 75 , 65-74 and below 65 years , respectively . Similar patterns of benefits were observed for secondary outcomes . There were no differences in the tolerability between randomized allocations across age groups ( all P heterogeneity > 0.6 ) CONCLUSION Routine administration of perindopril-indapamide lowers blood pressure safely and reduces the risk of major clinical outcomes in patients of at least 75 years with type 2 diabetes . The greater absolute benefits in older patients in this age group were not offset by an increased risk of side effects .",FALSE,1,0,,1,1,0,,1,1,0,,0,,0,,1,placebo,1,blood pressure lowering;; blood pressure lowering;; blood pressure lowering;; composite of major macrovascular and microvascular disease;; relative risk reductions;; major macrovascular disease;; death;; renal events;; blood pressure;; risk,0,,0,,1,side effects .,0,,1
12925182,"Reduction of isoflurane MAC by fentanyl or remifentanil in rats . OBJECTIVE The main objective of the study was to determine the effects of three different infusion rates of fentanyl and remifentanil on the minimum alveolar concentration ( MAC ) of isoflurane in the rat . A secondary objective was to assess the cardiovascular and respiratory effects of the two opioid drugs . ANIMAL POPULATION Thirty-seven male Wistar rats were randomly allocated to one of six treatment groups . MATERIAL AND METHODS For all treatment groups anaesthesia was induced with 5 % isoflurane in oxygen using an induction chamber . A 14-gauge catheter was used for endotracheal intubation , and anaesthesia was maintained with isoflurane delivered in oxygen via a T-piece breathing system . A baseline determination of the minimum alveolar concentration of isoflurane ( MACISO ) was made for each animal . Fentanyl ( 15 , 30 , 60 micro g kg-1 hour-1 ) or remifentanil ( 60 , 120 , 240 micro g kg-1 hour-1 ) were infused intravenously into a previously cannulated tail vein . Thirty minutes after the infusion started , a second MACISO ( MACISO+drug ) was determined . The carotid artery was cannulated to monitor the arterial pressure and to take samples for arterial gas measurements . Cardiovascular ( heart rate and arterial pressure ) and respiratory ( respiratory rate and presence/absence of apnoea ) effects after opioid infusion were also recorded . RESULTS Fentanyl ( 15 , 30 , 60 micro g kg-1 hour-1 ) and remifentanil ( 60 , 120 , 240 micro g kg-1 hour-1 ) similarly reduced isoflurane MAC in a dose-dependent fashion : by 10 % at lower doses , 25 % at medium doses and by 60 % at higher doses of both the drugs . Both opioids reduced the respiratory rate in a similar way for all doses tested . No episodes of apnoea were recorded in the remifentanil groups , while administration of fentanyl resulted in apnoea in three animals ( one at each dose level ) . The effects on the cardiovascular system were similar with both drugs . CONCLUSIONS We conclude that the intraoperative use of remifentanil in the rat reduces the MAC of isoflurane , and that this anaesthetic sparing effect is dose-dependent and similar to that produced by fentanyl at the doses tested . CLINICAL RELEVANCE The use of remifentanil during inhalant anaesthesia in the rat can be considered an intravenous alternative to fentanyl , providing similar reduction in isoflurane requirements . Due to its rapid offset , it is recommended that alternative pain relief be instituted before it is discontinued .",FALSE,0,1,male,1,0,0,,0,1,0,,0,,0,,0,,1,arterial pressure;; Cardiovascular ( heart rate and arterial pressure );; respiratory ( respiratory rate and presence/absence of apnoea ) effects,0,,0,,0,,0,,0
10960380,"The anesthetic and recovery profile of two doses ( 60 and 80 mg ) of plain mepivacaine for ambulatory spinal anesthesia . UNLABELLED Reports of transient neurological symptoms with the use of subarachnoid lidocaine has generated interest in alternate local anesthetics of intermediate duration , such as mepivacaine . This prospective randomized , double-blinded , dose-response study examined the anesthetic and recovery profiles of 60- and 80-mg doses of preservative-free plain mepivacaine for ambulatory spinal anesthesia . Sixty patients undergoing ambulatory anterior cruciate ligament repair of the knee under spinal anesthesia were randomized into two groups ; Group 1 ( 29 patients ) received 4 mL of 1.5 % ( 60-mg dose ) and Group 2 ( 31 patients ) received 4 mL of 2 % ( 80-mg dose ) of plain mepivacaine . All patients received a combined spinal-epidural anesthetic technique . The epidural catheter was used only in the event the surgery outlasted the duration of surgical anesthesia with subarachnoid mepivacaine . Epidural supplementation was administered in three patients ( 12 % ) in Group 1 and one patient ( 3 % ) in Group 2 when the sensory block regressed to L-1 with surgery expected to last longer than 15 min . The cephalad dermatome level of the block and degree of motor block was comparable in the two groups . Times to two-segment and T-10 regression were comparable in the two groups ( 112 +/- 26 min in Group 1 versus 122 +/- 28 min in Group 2 ) . Time to L-1 regression was significantly longer in Group 2 ( 146 +/- 28 min in Group 1 versus 159 +/- 19 min in Group 2 ) . All of the ambulatory milestones were significantly faster in Group 1 . Side effects , such as hypotension and emesis were negligible , severe bradycardia and urinary retention did not occur , and none of the patients in the two groups reported transient neurological symptoms over 24 h. In conclusion , plain mepivacaine in a 60- or 80-mg dose is a suitable local anesthetic choice for ambulatory spinal anesthesia with respect to anesthetic , as well as recovery profiles . IMPLICATIONS We evaluated the anesthetic and recovery profiles of 60- and 80-mg doses of plain mepivacaine for ambulatory spinal anesthesia . Both doses produced comparable sensory and motor block . Sensory and motor regression and ambulatory milestones were 20-30 min longer with the 80-mg dose . Side effects were negligible and transient neurological symptoms were not reported during a 24-h follow-up .",FALSE,0,0,,0,1,0,,1,1,0,,0,,0,,0,,1,cephalad dermatome level of the block;; degree of motor block;; Times to two-segment;; Time to L-1 regression;; hypotension;; emesis;; bradycardia;; urinary retention;; transient neurological symptoms;; Sensory and motor regression;; transient neurological symptoms,0,,0,,1,and;; Side effects,0,,1
8331682,"Low-dose aspirin and incidence of colorectal tumors in a randomized trial . BACKGROUND Laboratory , clinical , and epidemiologic studies have recently suggested that regular use of aspirin can reduce colorectal cancer incidence or mortality . However , observational epidemiologic analyses have had limited opportunity to control for confounding bias or to specify aspirin doses used . PURPOSE Our purpose was to examine the relationship between regular use of low-dose aspirin and incidence of invasive and noninvasive colorectal tumors by utilizing data from the Physicians ' Health Study , a randomized , double-blinded , placebo-controlled trial of aspirin and beta carotene . We also attempted to determine whether invasive cancers among aspirin users were associated with rectal bleeding and early stage at diagnosis . METHODS The Physicians ' Health Study includes 22071 U.S. male physicians . The aspirin arm was terminated in 1988 after a mean follow-up of 5 years . Stage at diagnosis and signs and/or symptoms during presentation were abstracted from medical records . Cox proportional hazards models were used to estimate relative risk ( RR ) , 95 % confidence intervals ( CIs ) , and the association between aspirin and bleeding . Differences between aspirin and placebo groups in tumor risk over time were visualized with Kaplan-Meier curves . We assessed the association between aspirin and stage at diagnosis with a Mann-Whitney rank sum statistic for non-parametric comparison of two ordinal distributions . RESULTS The RR of developing colorectal cancer for aspirin compared with placebo was 1.15 ( 95 % CI = 0.80-1.65 ) . For in situ cancers and polyps , the RR was 0.86 ( 95 % CI = 0.68-1.10 ) . There was no significant trend for decreasing RR by year of follow-up for invasive cancers ( P = .09 ) or noninvasive tumors ( P = .96 ) . Aspirin and placebo groups did not differ in stage or prevalence of rectal bleeding at diagnosis . CONCLUSIONS Regular aspirin use , at a dose adequate for preventing myocardial infarction , was not associated with a substantial reduction in the incidence of colorectal cancer during 5 years of randomized treatment and follow-up . A small decrease in polyps in the aspirin group could not be reliably distinguished from a chance association . Our results suggest that among low-dose aspirin users , ( a ) colorectal cancer mortality is not likely to be reduced by earlier detection and ( b ) incidence is not likely to be increased due to aspirin-induced gastrointestinal bleeding . IMPLICATIONS The potential for a benefit from higher doses of aspirin or longer duration of use should be addressed by more detailed observational epidemiologic studies and prevention trials with longer follow-up of randomized participants .",FALSE,0,1,male,1,0,0,,0,1,0,,0,,0,,1,placebo-controlled;; placebo,1,relative risk;; RR;; colorectal cancer,0,,0,,1,rectal bleeding,0,,1
7235205,"Theophylline concentrations in serum and saliva after oral microcrystalline and sustained-release preparations in asthmatics . Theophylline concentrations in saliva have been compared with those in serum in 13 asthmatic patients after single and multiple oral dosage of a microcrystalline theophylline tablet ( Nuelin ) and a sustained-release preparation ( Nuelin Retard ) . There was wide individual variation in the ratio of serum to saliva concentrations indicating that , even when individual serum to saliva ratios have been established , the use of saliva theophylline measurements alone is unreliable for the routine monitoring of theophylline therapy . Both preparations produced mean serum theophylline concentrations within the 10 -- 20 mcg/ml range , the sustained-release tablet giving higher monitoring through values and smaller through to peak variation . The preparations were equally and highly bioavailable . Side effects were reported by three patients , which were the patients with the highest AUC . The Nuelin Retard preparation appears to provide smooth , sustained serum theophylline concentrations within the therapeutic range and the simple , twice-daily dosage should result in improved patient compliance .",FALSE,0,0,,1,1,0,,0,1,0,,0,,0,,0,,1,Theophylline concentrations;; Theophylline concentrations;; ratio of serum to saliva concentrations;; mean serum theophylline concentrations;; serum theophylline concentrations,0,,0,,1,Side effects,0,,0
20508979,"Effects of cognitive behavioral therapy on daily living skills in children with high-functioning autism and concurrent anxiety disorders . CBT is a promising treatment for children with autism spectrum disorders ( ASD ) and focuses , in part , on children 's independence and self-help skills . In a trial of CBT for anxiety in ASD ( Wood et al . in J Child Psychol Psychiatry 50:224-234 , 2009 ) , children 's daily living skills and related parental intrusiveness were assessed . Forty children with ASD ( 7-11 years ) and their primary caregiver were randomly assigned to an immediate treatment ( IT ; n = 17 ) or 3-month waitlist ( WL ; n = 23 ) condition . In comparison to WL , IT parents reported increases in children 's total and personal daily living skills , and reduced involvement in their children 's private daily routines . Reductions correlated with reduced anxiety severity . These results provide preliminary evidence that CBT may yield increased independence and daily living skills among children with ASD .",FALSE,0,0,,0,0,0,,0,0,1,cognitive behavioral therapy;; CBT;; CBT;; immediate treatment ( IT,0,,0,,0,,0,,0,,0,,0,,1,daily living skills;; independence and self-help skills;; parental intrusiveness;; total and personal daily living skills;; involvement in their children 's private daily routines;; independence and daily living skills,1
11053333,"Effect of systemic nitric oxide synthase inhibition on postexercise hypotension in humans . An acute bout of aerobic exercise results in a reduced blood pressure that lasts several hours . Animal studies suggest this response is mediated by increased production of nitric oxide . We tested the extent to which systemic nitric oxide synthase inhibition [ N ( G ) -monomethyl-L-arginine ( L-NMMA ) ] can reverse the drop in blood pressure that occurs after exercise in humans . Eight healthy subjects underwent parallel experiments on 2 separate days . The order of the experiments was randomized between sham ( 60 min of seated upright rest ) and exercise ( 60 min of upright cycling at 60 % peak aerobic capacity ) . After both sham and exercise , subjects received , in sequence , systemic alpha-adrenergic blockade ( phentolamine ) and L-NMMA . Phentolamine was given first to isolate the contribution of nitric oxide to postexercise hypotension by preventing reflex changes in sympathetic tone that result from systemic nitric oxide synthase inhibition and to control for alterations in resting sympathetic activity after exercise . During each condition , systemic and regional hemodynamics were measured . Throughout the study , arterial pressure and vascular resistances remained lower postexercise vs. postsham despite nitric oxide synthase inhibition ( e.g. , mean arterial pressure after L-NMMA was 108.0+/-2.4 mmHg postsham vs. 102.1+/-3.3 mmHg postexercise ; P < 0.05 ) . Thus it does not appear that postexercise hypotension is dependent on increased production of nitric oxide in humans .",FALSE,0,0,,1,1,0,,1,1,0,,0,,0,,0,,1,blood pressure;; blood pressure;; systemic and regional hemodynamics;; arterial pressure and vascular resistances;; postexercise hypotension,0,,0,,0,,1,nitric oxide synthase;; production of nitric oxide,1
23400613,"Disparities in transition planning for youth with autism spectrum disorder . OBJECTIVE Little is known about accessibility to health care transition ( HCT ) services for youth with autism spectrum disorder ( ASD ) . This study expands our understanding by examining the receipt of HCT services in youth with ASD compared with youth with other special health care needs ( OSHCN ) . METHODS We used the 2005-2006 National Survey of Children with Special Health Care Needs to examine receipt of HCT services for youth ( aged 12-17 years ) with ASD and youth with OSHCN . Logistic regression analyses explored whether individual , family , or health system factors were associated with receipt of HCT services for youth with ASD . RESULTS Whereas half of youth with OSHCN received HCT services , less than a quarter of youth with ASD did . Only 14 % of youth with ASD had a discussion with their pediatrician about transitioning to an adult provider , less than a quarter had a discussion about health insurance retention , and just under half discussed adult health care needs or were encouraged to take on appropriate responsibility . Logistic regression analyses indicated that having a developmental disability or multiple health conditions in addition to ASD and quality of health care were strong predictors of HCT , whereas demographic and family variables accounted for little variance . CONCLUSIONS Youth with ASD experience disparities in access to HCT services . Youth with comorbid conditions are at greatest risk for poor access to HCT services and increased quality of care has a positive effect . Research is needed to understand barriers to care and develop policy and practice guidelines tailored for youth with ASD .",FALSE,1,0,,0,1,0,,0,0,1,transition planning;; health care transition ( HCT );; HCT services;; HCT;; HCT,0,,0,,0,,0,,0,,0,,0,,1,HCT services;; health insurance retention;; adult health care needs or were encouraged to take on appropriate responsibility .;; HCT,0
14966713,"Reliance on visual information after stroke . Part II : Effectiveness of a balance rehabilitation program with visual cue deprivation after stroke : a randomized controlled trial . OBJECTIVE To test the hypothesis that balance rehabilitation with visual cue deprivation improves balance more effectively than rehabilitation with free vision . DESIGN Single-blind , randomized controlled trial . SETTING Public rehabilitation center in France . PARTICIPANTS Twenty patients with hemiplegia after a single-hemisphere stroke that occurred at least 12 months before the study . INTERVENTION Patients were randomly assigned to 1 of 2 balance rehabilitation programs-with and without visual cue deprivation . In all other respects , the programs were identical . Each lasted for 1 hour and was implemented 5 days a week for 4 weeks . All patients completed the program . Mean outcome measures Balance under 6 sensory conditions was assessed by computerized dynamic posturography ( EquiTest ) , gait velocity , timed stair climbing , and self-assessment of ease of gait before and after program completion . RESULTS After completing the program , balance , gait velocity , and self-assessment of gait improved significantly in all patients . The improvements in gait velocity ( P= .03 ) and timed stair climbing ( P= .01 ) correlated significantly with improved balance . Balance improved more in the vision-deprived group than in the free-vision group . CONCLUSIONS Balance improved more after rehabilitation with visual deprivation than with free vision . Visual overuse may be a compensatory strategy for coping with initial imbalance exacerbated by traditional rehabilitation .",FALSE,0,0,,0,1,0,,1,0,1,"rehabilitation with free vision;; Patients were randomly assigned to 1 of 2;; and;; In all other respects , the programs were identical",0,,0,,1,.;; without visual cue deprivation;; free vision,1,"dynamic posturography ( EquiTest ) , gait velocity , timed stair climbing , and self-assessment of ease of gait before and after program completion",0,,0,,0,,1,visual information;; balance;; Balance;; balance;; gait velocity;; self-assessment of gait;; gait velocity;; timed stair climbing;; Balance;; Balance,0
